RA,dec,roll
-31,-65,110
108,16,-3
168,-20,-117
-48,15,11
-131,83,70
4,12,-28
1,-37,91
-69,69,50
61,-54,55
87,-85,4
-145,76,75
10,-37,-150
-17,-41,9
150,-60,-31
-9,-75,70
-73,-88,-102
-81,43,0
173,49,163
75,23,-13
95,11,-29
154,-74,14
30,-89,69
-125,41,18
-171,18,-29
-82,11,-73
-126,55,-11
-121,79,69
-103,-68,-101
94,-32,-152
-98,26,-59
-145,-87,-72
139,28,-21
90,45,111
77,-60,52
140,-70,-107
-90,90,-120
-61,88,14
177,-1,113
169,-32,-29
-157,24,172
-117,78,-51
115,-15,11
160,-76,-135
165,-26,-109
-148,72,-170
-79,2,-124
93,25,-115
51,-18,47
-41,32,9
-29,-65,168
-129,-19,-39
14,78,-24
-101,-1,-37
-180,89,125
25,-44,-170
76,-73,-76
143,-59,-61
-19,-55,-44
33,-12,61
144,56,-48
94,-76,100
-121,54,-67
-14,-37,105
-140,14,17
-133,-47,-57
-170,88,-106
-79,61,-79
-111,-67,134
120,35,-174
-52,42,35
53,3,98
34,43,-65
-120,59,-139
135,-47,90
110,-12,-14
8,42,-85
-13,-65,-95
171,88,30
31,14,39
-177,-66,-138
178,-48,-179
61,-37,137
98,51,-70
-37,37,-174
46,10,50
43,-1,-25
-62,-31,-108
87,52,-135
-128,67,136
18,0,11
-102,7,-166
-159,-60,7
115,-20,-53
4,68,53
161,60,44
61,41,-154
-157,87,-136
-61,-58,-73
-133,-80,-86
83,81,64
