RA,dec,roll
-85,76,158
-108,-86,28
180,3,-142
-89,-59,79
136,46,165
-9,-49,-139
-80,69,21
-164,46,-110
62,4,152
-35,17,-91
-17,34,96
-178,-30,106
-95,-59,38
-72,-58,108
5,-40,8
89,-66,100
-123,-88,-144
133,-74,-69
88,-67,138
-71,-33,31
109,-64,87
8,81,103
2,-9,-141
117,-48,23
16,-25,-23
153,44,68
159,-85,-47
161,37,-126
59,-34,-85
-30,60,-139
-6,27,172
104,-55,164
-149,-9,-171
50,15,30
-18,48,-46
49,-72,165
67,-87,-61
-155,-62,56
120,-58,-59
-127,-70,-176
-102,63,-164
-50,-63,69
-172,-8,-178
-2,86,44
-176,12,-28
3,65,160
-163,-38,80
101,-86,83
-169,60,-164
149,48,14
-158,-87,-171
-105,76,-16
-37,-83,170
118,-14,34
-85,24,49
162,87,-20
-33,-60,99
146,-81,132
-113,2,176
-56,-54,-108
-131,-18,-158
-97,89,-147
154,60,-51
-80,-74,-25
18,-77,-154
129,72,-45
175,32,-28
101,13,11
165,42,45
-115,-32,-5
14,84,-157
28,-6,-42
-19,-87,105
-121,-69,100
-51,-50,142
145,-44,90
-126,-53,-91
0,-31,165
66,74,-39
-56,-67,-142
85,37,-122
176,-32,-177
-74,26,-41
118,-8,54
30,32,-123
-65,28,78
-146,-10,-144
74,-22,-107
-164,65,-3
108,-63,-165
59,-65,37
21,4,58
-23,-87,-170
6,42,17
-105,25,-153
67,47,158
-178,27,-39
-21,63,62
164,57,-114
12,-46,-156
