RA,dec,roll
-104.97509126964,-45.5617031602835,-48.1233891001678
149.112661507578,-59.7531400186162,-30.1737391193244
156.666499842934,-58.3309401315329,-29.4801574480298
164.678839831955,-56.8123554437581,-29.0224219769887
172.007076574174,-55.2942419833846,-29.0373573107047
-179.798149028363,-53.6296296626094,-29.2488385368509
-143.58671989319,-47.3419654556838,-57.5733752610499
-152.001729353712,-48.2973327859087,-58.9455895730563
-160.555351792853,-49.3151877817452,-60.0946996477057
-169.495905249651,-50.3800673639922,-60.9680045765573
-178.621989271909,-51.4399449229166,-61.5765394314236
-131.04116441297,-43.5247863399385,-37.6594884922796
-124.617758741436,-42.3553828748511,-39.9354047951788
156.387902799544,-53.9786952287227,-62.4701672341543
-112.298173510025,-40.4953123012697,-44.8427958889761
141.420359221976,-55.2411094643647,-62.6484244055464
-102.062267709206,-39.5068675274727,-49.7880829428953
128.473700114561,-56.3013350531316,-62.8681426340411
-92.9207207149043,-39.2163168621482,-54.5963305882766
116.248694373904,-57.3147910836256,-62.8590722140311
110.192743393113,-57.8180092091569,-62.7054497210962
-80.1033607417313,-39.9206196033515,-61.3884822372698
97.762207814765,-58.8268838319314,-61.9296997633699
-71.2253508979353,-41.0781609525522,-65.6046064439133
83.9679060016228,-59.7017382447062,-60.2072751840668
76.7425461402465,-60.0714320645384,-59.0167076525052
-56.3955779787718,-43.8443147048614,-71.304258172828
59.9453729577167,-60.364133178432,-55.7613336733703
50.7910731057877,-60.2595503188107,-53.8657498661448
-38.0535697181579,-47.9946417855902,-76.0861290117283
-30.7454543886555,-49.7376358650229,-77.4257936181621
21.474596651353,-58.8539042303243,-48.2997064889361
-15.1525992653025,-53.6580460090535,-79.0310026865549
-6.24042353677368,-55.8584153291405,-79.2805303912471
2.52487091060598,-58.0006275259566,-78.7866067771239
-17.1622123715822,-55.3176550748686,-43.871561573666
21.7296825248348,-62.1314938092596,-75.6752328976465
31.5511470034203,-63.8458821071174,-72.8673557377018
-42.3207491274476,-52.6560433262961,-42.7078013007534
52.5317720745555,-66.40100678804,-65.0721330598458
63.4056430810486,-67.1339860317177,-60.3523409362419
73.8829762913536,-67.4487750917569,-55.5143840152287
84.0541913113177,-67.4123869139975,-50.8163324921872
93.7501417452771,-67.0538280888368,-46.4216039043957
-79.2305998414487,-48.0393534573865,-43.1943022104517
111.754432693161,-65.629594641788,-39.1441200065112
-89.5396301095095,-46.7731121266288,-44.6494206107351
-94.5218839613553,-46.2485185746945,-45.6229730876759
134.342294524481,-62.3530266067092,-32.5650783251687
-104.97509126964,-45.5617031602835,-48.1233891001678
79.4519179864727,-67.5454863671147,-52.9545213145137
-70.4953690385435,-49.2921412267218,-42.5108685787968
95.8216490366309,-67.0315160320796,-45.5298417702187
103.113927351861,-66.4788816354734,-42.4063055590489
110.327257811838,-65.8097893027376,-39.5980805694745
-88.1998936344129,-47.0342306980217,-44.3852463523872
123.618993090096,-64.1404926305354,-35.1780219144856
-96.7464727012642,-46.2065792855909,-46.073352608148
-100.92683257037,-45.8751206548117,-47.0271737182609
142.219328313823,-61.1049833475503,-31.0093049781661
