RA,dec,roll
108,30,1
-36,-16,-132
-14,-59,-147
-137,52,-36
-94,-82,144
-42,-55,-111
-72,-30,-79
-138,-34,-109
-130,-39,-23
-137,-54,-37
-141,86,177
-2,59,57
12,83,16
-91,-47,-147
-156,65,-88
39,-69,-21
-35,41,-171
58,-85,48
130,-28,41
7,-70,-67
-123,-28,177
-115,5,-78
-171,72,-103
-110,-68,-132
146,-85,-106
-51,71,-46
-94,-14,-59
48,-32,-92
-88,29,129
54,-41,-75
-119,-34,90
-120,21,107
172,-66,147
-49,-80,170
167,70,-36
-35,-42,-105
82,44,-89
2,81,-148
159,-43,-164
54,84,-84
44,30,8
129,-65,41
96,-53,-4
109,-76,-49
-5,41,1
47,-59,-23
-50,20,-78
-37,-31,-166
-144,9,8
-104,-23,-118
-42,0,79
12,-3,-87
-64,72,-144
50,-52,-20
85,39,113
154,-7,83
95,-39,-158
-167,-16,-156
-164,75,-79
3,-89,-111
